Document name,about_pharmacy_refusals,Additional notes
"They work 80 hours a week for low pay. Now, California 's early-career doctors are joining unions",,
This company promised to improve health care in jails. Dozens of its patients have died,,
"This GOP Senate Candidate Can't Run From His Anti-Choice Record, But He's Certainly Trying",,
This overdose-reversal medicine could reduce opioid deaths - so why don't more people carry it_,,
Thousands of COVID-Related EEOC Charges Filed; More to Come_,,
Three Issues To Watch This Supreme Court Term,,
Timaya Dragged Me On The Road After Hitting Me With His G Wagon Damilola Osinubi,,
"Time For Jesus-Loving, Lady-Hating Pharmacists To Take Center Stage Again",,
Top 5 Takeaways From The EEOC COVID-19 Vaccine Guidance,,
Top 7 Things You Need To Know As EEOC Says Employers May Mandate COVID-19 Vaccines,,
Transgender troops warned to avoid Florida over discriminatory laws,,
Tread lightly with COVID conversation this holiday season,,
Trump Administration Really Wants Doctors To Discriminate Against Trans People For Some Reason,,
Trump is getting truly desperate - and that means he's increasingly dangerous,,
Trump Lashes Out Against Reproductive Rights After the Midterms,,
Trump Pretty Sure Jesus Wants Your Doctor To Discriminate Against You,,
Trump strengthens protections for religious health workers,,
"Trump, Bush Appeals Court Judges Rule in Favor of Professor of 'Christian Thought' Who Refused to Ca",,
U.S. Supreme Court Clarifies Employers' Religious Accommodation Obligations,,
U.S. Supreme Court Permits Mandatory COVID-19 Vaccination Program To Proceed Without Religious Exemp,,
Unfavorable Views Of Health Law Spike In July,,
Update on Vaccine Requirements and Roll Out of the Path out of Pandemic Plan,,
Updated DFEH Guidance on Mandatory COVID-19 Vaccination Policies,,
Updated Face Covering Guidance for Oregon Businesses,,
US state court approves Pennsylvania 's mail-in voting expansion,,
US Supreme Court Declines Closely Watched Pharmacy Rules Case,,
Vaccinations in the Workplace,,
Vaccine Development and Distribution_ Legal Considerations for US Healthcare Providers and Other Emp,,
Vaccine hesitancy is complicating physicians' obligation to respect patient autonomy during the COVI,,
Vault Your Business Out of the Pandemic_Three Employment Topics to Keep an Eye On,,
Victims of Islamic Delusion,,
VICTOR DAVIS HANSON_ Premodern Diversity Vs. Civilizational Unity,,
Video and Transcript of Justice Alito 's Keynote Address to the Federalist Society,,
Video Shows Muslim Woman Subjected to Racist Rant in Florida Pharmacy,,
Video_ Current rates of vaccine hesitancy in the US could mean a long road to normalcy,,
VP debate_ How Vance and Walz differed from their running mates on immigration,,
"W.African Bloc Demands Civilian Transition In Mali , Elections In 12 Months",,
Walgreens Customers Are Calling For A Boycott After It Refused Contraceptive Sales To Some Shoppers,,
Walgreens Fires Pharmacist for Refusing to Violate His Religious Beliefs,,
Walgreens Hit With Boycott Calls Amid Claims of Birth Control Sale Hassles,,
"Walgreens Pharmacist Humiliated Woman For Having Miscarriage, So That's Christian",,
Walgreens pharmacist refuses to fill woman's prescription to induce a miscarriage,,
Walgreens Pharmacist Too Holy To Do His Job,,
"Walmart Withholds Medicine From Lady Who Miscarried, Because She's Probably A Sinner",,
Wapo joins the war on reproductive freedom,,
Warning For Immigrants_ Marijuana Could Impact Your Immigration Status,,
Washington Healthcare Update - February 2024,,
Washington Healthcare Update - February 2024 #2,,
Washington Healthcare Update - February 2024 #3,,
Washington Healthcare Update - January 2024,,
Washington Healthcare Update - January 2024 #3,,
Washington Healthcare Update - March 2024,,
Washington Healthcare Update - September 2022 #3,,
Washington State Pharmacies_ The Next Frontier for Religious Freedom_,,
We've Entered a New Era of Tiered Constitutional Rights,,
"What Amazon , Walmart employees risk when they use the workplace for activism",,
"What an Employer Needs to Know About the COVID-19 Vaccines_ Mandates, Incentives, Accommodations and",,
What Do The Republicans Want To Take Away From Working & Struggling Families Today_,,
What is Louisiana 's Ten Commandments law and why is it controversial_,,
What To Do When Your Healthcare Employee Objects To Providing Treatment Based on Religious Grounds,,
What's it to You_ Justice Scalia 's 41-Year-Old Gatekeeping Question on _Standing_ Influences Court,,
When the Religious Doctor Refuses to Treat You,,
Where slavery is on the ballot this November,,
Which Side Is Manchin On_ GÇô OpEd,,
Whistleblower Claim Leads to Huge Settlement for Unpaid Drug Rebates,,
White House Commemorates Holy Martyr Who Died For Liberty. Whatever Could It Mean_,,
White House Wishes Everyone Would Be Good Christians Just Like Donald Trump,,
Whither White Poverty,,
WHO Names Vaccine Hesitancy As Top World Threat in 2019,,
Who Will Stop the Current Madness_,,
Why Is It Important To Think Independently_ GÇô OpEd,,
Why Jessica Biel Is Wrong,,
Will Poland 's New Government Legalize Abortion_,,
"Window On Washington - Vol. 3, Issue 42",,
Wingnut Nurse Sues Family Planning Center For Not Giving Her Job Just Because She Says She Won't Do,,
Winners and losers in CA budget deal,,
"With over-the-counter birth control pills likely to be approved, pharmacists and pharmacies could pl",,
"With Roe overturned, TrumpGÇÖs GOP turns to transgender health care",,
Woman In Islam_ The East-West Paradox GÇô OpEd,,
Woman Shot Dead for Drinking Alcohol Near Place of Worship,,
Workers _Choose_ To Not Work For Anti-Choice Ohio Restaurant,,
You Likely Owe Nothing for Your Preventive Service,,
ze' 'co' 'thon',,
